EOA,USD_STRAT_TOT,WETH_STRAT_TOT,DRO_USD,GNB_WETH,MAIN_WETH
0x3cda30bd84db976bfabb64b622d74d38e78edfd3,0.000000000000000000,48,0,48,0
0x923b00bb691c58656dd811c5576ada5d878f7803,0.000000000000000000,40,0,40,0
0x43ce45127b92d08d078d1c7643cb45f4a21c9ae2,0.000000000000000000,32,,32,0
0x1fd6e15cd7548ec27443690ce5aa3320b1869c3d,0.000000000000000000,25.77819974,,25.77819974,
0xe31ab61d2f8434654e022f6575201e6eb00537dc,2000.000000000000000000,20,2000,5,15
0xe524c3c12fa04f132b3c3c71072f8932a352f270,0.000000000000000000,20,,10,10
0x980c9b472500f3bb6c08d876f45df3a1e3298496,0.000000000000000000,10.00001299,0,5,5.000012991
0x43cefb2fe7ec94581677d2a17300ad4edf92cc79,0.000000000000000000,10,,,10
0x68fc52b4f98a562f2338c6b38f752e599eaa9de6,0.000000000000000000,10,,10,
0xb8c1f214e853d13aaaac97d84e6df71ddcd30023,0.000000000000000000,10,,,10
0x0dd71e71c48086ebb867cfdc2773867ff59c809e,0.000000000000000000,4,,,4
0x438a650693bda869f82c54145f4bad57dac714d1,3531.175022000000000000,3,3531.175022,1.5,1.5
0xb67620e8c9e19592b616942f895153e2dcf9ccb6,0.000000000000000000,3,,,3
0xeb3ed320353710cfb1cc17e0670dcdd334efa449,1000.000000000000000000,2,1000,2,
0xc593e4df56dc8267d55876cddac3d36d74978618,13718.015683000000000000,1.763951721,13718.01568,1.413951721,0.35
0x546f2df53f938a3ef93564233a509f9d4e47eaac,0.000000000000000000,1.5,,1.5,2.22E-16
0xb28336fdedc00fd794ede5d4d41d3279a2e4abc7,0.000000000000000000,1.39,,1.39,
0x57cce7b95affbf5fb6b3c8e6c71f4c77124ef3cd,0.000000000000000000,1,,,1
0x6249a2692b5dc0e75408a20aa6b5275a0e3e327f,0.000000000000000000,1,,1,
0x5df4cf5bb7702ac274489cc445f673910f1b8322,0.000000000000000000,0.94,,,0.94
0x96e8eed3f44bd5b051d4423b4cf1a22e6cdab02a,0.000000000000000000,0.84883,,0.5,0.34883
0xe85c71088435a9771f9b68c6c70270318bc4cf57,0.000000000000000000,0.829733371,,0.506733371,0.323
0x4099f69114c1fbaa8e420cc975f7fb3ecb08e563,0.000000000000000000,0.5,,,0.5
0x71c9ebf83f2c1749dc1649dee1f159ad7216faaf,0.000000000000000000,0.4,,,0.4
