EOA,USD_STRAT_TOT,WETH_STRAT_TOT,DRO_USD,GNB_WETH,MAIN_WETH
0xb713433cb2f2631775039eaeb0a0f40c81fe46a4,0.000000000000000000,0,,,0
0xb7504ad0d4513efa270648f464fd5728ca0180db,0.000000000000000000,0,,,0
0xbf98f6df65dfa2f2b50d4a806cf134a209c7d364,0.000000000000000000,0,0,,
0xc1e8cb20317ae543804ab1d58e954a9c0b44b7f0,0.000000000000000000,0,,0,
0xc47d9a086c5674905b7a75460a0d8a3b1030cacc,0.000000000000000000,0,,,0
0xd0d704c5c11c4d31beeda9ccc5df586d5a2314c9,0.000000000000000000,0,,0,0
0xd2c69cd5d740bc735eb30188d3b406e2774a1d21,0.000000000000000000,0,,0,0
0xd9873df817ae38dbee1d2af25d3c206e1f826f44,0.000000000000000000,0,,0,0
0xe39b04500d45d489cbd2d44d33aaa71e4b044208,0.000000000000000000,0,,0,
0xe51faa4859a0ce71a978e01b092f3c749e1be9ab,0.000000000000000000,0,,,0
0xe60a9fd5fe190de7620341636c3f02abf5b20ea5,0.000000000000000000,0,,,0
0xe7d960ee16d6fcddeb66b0afbbfa051f61ef0e6c,0.000000000000000000,0,,0,
0xedf6e65e51d63bf8c7de15ac3a2901a589c7f4cd,0.000000000000000000,0,,,0
0xf5b0af852e3dedc03b551f7050b616b5c77c7645,0.000000000000000000,0,,,0
0xf5ff296d4b9c856bed217ead0373cbd6480cce8b,0.000000000000000000,0,0,,
0xf77259f9584d6c1eecaa4c77afbaccea63d7e226,0.000000000000000000,0,,0,
0xf78fe967ead6007c8f16e07fbb0f2626f88ad0df,0.000000000000000000,0,,0,
0xfb43a848b4c0d189821058644a81933736b098a4,0.000000000000000000,0,,0,0
0x679f4a92100b65a97ee5f3cae7dbba42dbacb7d5,0.000000000000909495,-4.44089E-16,9.09E-13,0,-4.44E-16
0xe22bd7774bedaa31207a5f1de123142eaaf6bd33,0.000000000000000000,-1.77636E-15,,-1.78E-15,0
